#sample	group
S1	LT_S
S10	LT_S
S11	LT_S
S12	LT_S
S13	LT_S
S14	LT_S
S15	LT_S
S16	LT_S
S17	LT_S
S18	LT_S
S19	LT_S
S2	LT_S
S20	LT_S
S21	LT_S
S22	LT_S
S23	LT_S
S24	LT_S
S25	LT_S
S26	LT_S
S27	LT_S
S28	LT_S
S29	LT_S
S3	LT_S
S30	LT_S
S31	LT_S
S32	LT_S
S33	LT_S
S34	LT_S
S35	LT_S
S36	LT_S
S37	LT_S
S38	LT_S
S39	LT_S
S4	LT_S
S40	LT_S
S41	LT_S
S42	LT_S
S5	LT_S
S6	LT_S
S7	LT_S
S8	LT_S
S9	LT_S
L1	LT_L
L10	LT_L
L11	LT_L
L12	LT_L
L13	LT_L
L14	LT_L
L15	LT_L
L16	LT_L
L17	LT_L
L18	LT_L
L19	LT_L
L2	LT_L
L20	LT_L
L21	LT_L
L22	LT_L
L23	LT_L
L24	LT_L
L25	LT_L
L26	LT_L
L27	LT_L
L28	LT_L
L29	LT_L
L3	LT_L
L30	LT_L
L31	LT_L
L32	LT_L
L33	LT_L
L34	LT_L
L35	LT_L
L36	LT_L
L37	LT_L
L38	LT_L
L39	LT_L
L4	LT_L
L40	LT_L
L41	LT_L
L42	LT_L
L43	LT_L
L44	LT_L
L45	LT_L
L46	LT_L
L47	LT_L
L48	LT_L
L5	LT_L
L6	LT_L
L7	LT_L
L8	LT_L
L9	LT_L
